Model,Score_Without_FE,Score_With_FE,Improvement
Ridge,0.9405714040570726,0.9450829707452612,0.004511566688188529
Random Forest,0.9279949284535745,0.9803054802747581,0.052310551821183604
Gradient Boosting,0.9451525264626884,0.9815972448749837,0.03644471841229524
HistGradient Boosting,0.9586420008167942,0.9842286217642161,0.025586620947421923
Extra Trees,0.8091375287843603,0.9799149874108827,0.17077745862652238
XGBoost,0.9527953979112208,0.9825769217387508,0.029781523827529965
LightGBM,0.9559614882680442,0.9835020543056637,0.027540566037619563
Lasso,0.9404879069897465,0.945090423914044,0.004602516924297473
